REVIEW_ID,PRODUCT_ID,CUSTOMER_ID,COUNTRY,REVIEW_DATE,REVIEW_TITLE,REVIEW_TEXT
1082,HT-1011,100000034,CA,2019-01-03,Great product,Great product Apple has done their homeworks. Can be used for 5 hours without charging
1083,HT-1003,100000030,US,2019-02-01,Best buy ever,Review: Its a fantastic machine. very smooth touchpad. fine keyboard and awesome performance. Now I will never switch to windows and thanks Amazon for giving too much discount.
1084,HT-1010,100000031,CA,2019-02-02,As usual,Review: Great product as usual from apple. I ordered it for my wife. and she is loving it :-)
1085,HT-1010,100000032,DE,2019-02-03,Very good,Review: Very good product. Perfectly packed & delivered on time. Working good till now.
1086,HT-1003,100000033,US,2019-02-04,Best laptop ever,Review: One of the Best MacBook from Apple. Thanks to Amazon for fastest delivery and very Competetive Price.
1087,HT-1010,100000034,CA,2019-02-05,1 star,Review: The Mac was good but the mouse pad are not wrking properly
1088,HT-1020,100000035,DE,2019-02-06,Bad!!!,Review: Very bad product. The Serial number on the product and the serial number on the tablet are different.
1089,HT-1030,100000036,US,2019-02-07,Worth every penny,Review: Finally a possession. Worth every penny. A must have for all those who can afford. Got it in 50k in Diwali sale
1090,HT-1007,100000037,CA,2019-02-08,Really Good,Review: Everything works good and very smooth but the display resolution is moderate and design must be refreshed.
1091,HT-1040,100000038,DE,2019-02-09,two stars,Review: Returned this very poor printer and now looking for different printer.
1092,HT-1050,100000039,US,2019-02-10,Excellent,Review: Excellent product and good delivery turnaround time by Amazon
1093,HT-1003,100000100,DE,2019-04-01,Fake Review,Very bad product (I am a fake review)
1094,HT-1011,100000037,CA,2019-04-07,10 stars,Apple forever! Great laptop and great battery lifetime
