HT-1000,US,2017-01-02,"Three stars","Three start. I have some issues like some keys don't work on first instance..and is somewhat slow also"
HT-1001,CA,2017-01-03,"Too hot","Heating and not wake up. Check twice when buy it on Offer."
HT-1002,DE,2017-01-04,"2nd hand","2nd hand laptops!!! The laptop I received already had an user on it with password etc. These are not new laptops!"
HT-1003,US,2017-01-05,"Best price value","No technical marvel but seems to be the best laptop in a price segment of Rs 55-60K."
HT-1011,CA,2017-01-06,"Second hand","Very disappointed as this seems to be a second hand product! Moreover the battery power is very low (stand by power is only 4 hour). Maybe it is because it was used already otherwise this is not a reasonably practicable device!"
HT-1020,DE,2017-01-07,"Very bad","very bad. My product is not working what do I do ? I have paid everything! This is very very bad ."
HT-1011,US,2017-01-08,"Waste of money","waste of money. Battery is draining out very quickly after 2-3 hours of usage. Also it's not lasting for more than 7 days once it's in a sleep mode. I cannot recommend it at all and I am very disappointed."
HT-1007,CA,2017-01-09,"Good product","Good product. But we are not getting on line support for any operation issue in ipad."
HT-1040,DE,2017-01-10,"One star","One star. scanner not working... tried 2 contact amazon.. not picking"
HT-1050,US,2017-01-11,"5/5 stars","Amazing product and great delivery by Amazon. Kudos to both"
HT-1000,CA,2017-01-12,"3 stars","Three star. very low memory. Not good buy."
HT-1001,DE,2017-01-13,"battery bad","Bad product. Battery issue with the laptop. Doesn't give backup as expected . Really upset with the product."
HT-1002,US,2017-01-14,"very happy","not a good product. charger not working after week use"
HT-1002,CA,2017-01-15,"Too expensive","better laptop is available in this price segment."
HT-1002,DE,2017-01-16,"Bad experiences"," have had extremely bad experiences with Apple products. they suffer from a chronic problem which is well known : overheating"
HT-1020,US,2017-01-17,"Bad display","Worst display.. fonts are blurry.. best part is help less amazon care. saying that there is no return policy.."
HT-1030,CA,2017-01-18,"Broke after 2 months","It has been just 2 months and the device has already stopped functioning. It doesnt turn on. I need a replacement. I am very angry and disappointed."
HT-1007,DE,2017-01-19,"Great as usual","Ipad..nothing to say. I have been using it since last 4 months."
HT-1040,US,2017-01-20,"Fake product","Fake Product. received A device Without Serial number. unable To Claim Warranty."
HT-1040,CA,2017-01-21,"Bad Quality","Pathetic product. Below standard quality."
HT-1011,US,2017-04-28,"Bad battery","Works as expected but battery is a nightmare. This is the worst I ever had. Do not forget your power cable otherwise you cannot use it."
HT-1011,DE,2017-05-07,"retuned after 3 months","Had to return the device already after 3 months as the battery could not be recharged. I am very disappointed!!!!"
HT-1011,DE,2017-05-18,"Bad battery","Do not buy the battery lifetime is unexceptable bad!!!"
HT-1011,CA,2017-08-08,"Battery Lifetime too short","Should consider exchanging the battery. The lifetime is very bad and far too short."
HT-1011,DE,2017-08-23,"Battery is a nogo","Battery is already empty after 1 hour!!! This laptop is absolutally useless."
HT-1030,CA,2017-12-01,"Immediate replacement","I need to update my previous review. The display was replaced immedeatley by Amazon and with the new display I have no problems any more. Very good service and display!"
HT-1000,DE,2018-04-03,"Too expensive","Price mismatch. never buying such things on amazon ever again"
HT-1001,US,2018-04-04,"Defect","very poor. disappointed. Defective product."
HT-1002,CA,2018-04-05,"Super","Be super careful about the NO COST EMI offer. The step is not shown. I paid the amount and now Kotak refuses to convert my purchase into EMI"
HT-1000,DE,2018-04-06,"Broke after 6 monts","Not good product -: After 6 months it became turn off. It is not starting now."
HT-1001,US,2018-04-07,"Not worthy","Not worthy of 2017 model in 55k bcs before 4 months in sale cut price of 10 k now no discount..only making fool on name"
HT-1007,CA,2018-04-08,"Great","Amazon late delivery as usual and had so pathetic experience with Amazon courier team this time."
HT-1030,DE,2018-04-09,"Overpriced","Overpriced people don't know slot about laptop.Apple products will cost u a lot cuz of its compatibility."
HT-1007,US,2018-04-10,"Worst table ever","Worst tablet ever not for student use I repeat not for students."
HT-1040,CA,2018-04-11,"Too expensive","Price is very high not worthy"
HT-1040,DE,2018-04-12,"Bad product","bad product. Compatible issue for Microsoft office files. not better than other platform."
HT-1000,US,2018-04-13,"Bad Service","Bad Service.After 1 month it doesn't start without any problem and then i have to change main power IC.That become very costly."
