HT-1000,Notebooks,0003-10-12,0003-10-12,Notebook Basic 15,Notebook Basic 15 with 1.7GHz - 15 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc,4.2,956.0,/sap/hana/democontent/epmNext/data/images/HT-1000.jpg,0.3,0.18,0.03
HT-1001,Notebooks,0003-10-12,0003-10-12,Notebook Basic 17,Notebook Basic 17 with 1.7GHz - 17 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc,4.5,1249.0,/sap/hana/democontent/epmNext/data/images/HT-1001.jpg,0.29,0.17,0.03
HT-1002,Notebooks,0003-10-12,0003-10-12,Notebook Basic 18,Notebook Basic 18 with 1.7GHz - 18 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc,4.2,1570.0,/sap/hana/democontent/epmNext/data/images/HT-1002.jpg,0.28,0.19,0.03
HT-1003,Notebooks,0003-10-12,0003-10-12,Notebook Basic 19,Notebook Basic 19 with 1.7GHz - 19 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc,4.2,1650.0,/sap/hana/democontent/epmNext/data/images/HT-1003.jpg,0.32,0.21,0.04
HT-1007,Handhelds,0003-10-12,0003-10-12,1UMTS PDA,Ultra fast 3G UMTS/HSDPA Pocket PC. can be used with any GSM network in the world  - Bluetooth 2.0Â® wireless connectivity,0.2,499.0,/sap/hana/democontent/epmNext/data/images/HT-1007.jpg,0.32,0.22,0.03
HT-1010,Notebooks,0003-10-12,0003-10-12,Notebook Professional 15,Notebook Professional 15 with 2.3GHz - 15 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM),4.3,1999.0,/sap/hana/democontent/epmNext/data/images/HT-1010.jpg,0.33,0.2,0.03
HT-1011,Notebooks,0003-10-12,0003-10-12,Notebook Professional 17,Notebook Professional 17 with 2.3GHz - 17 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM),4.1,2299.0,/sap/hana/democontent/epmNext/data/images/HT-1011.jpg,0.33,0.23,0.02
HT-1020,Handhelds,0003-10-12,0003-10-12,Easy Hand III,High resolution 320x320 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus,0.16,129.0,/sap/hana/democontent/epmNext/data/images/HT-1020.jpg,0.1,0.02,0.17
HT-1021,Handhelds,0003-10-12,0003-10-12,Easy Hand V,High resolution 320x320 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus,0.18,149.0,/sap/hana/democontent/epmNext/data/images/HT-1021.jpg,0.11,0.02,0.18
HT-1022,Handhelds,0003-10-12,0003-10-12,Easy Hand VII,High resolution 320x480 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus,0.2,205.0,/sap/hana/democontent/epmNext/data/images/HT-1022.jpg,0.84,0.02,0.14
HT-1023,Handhelds,0003-10-12,0003-10-12,Easy Power,High resolution 320x480 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus,0.8,239.0,/sap/hana/democontent/epmNext/data/images/HT-1023.jpg,0.8,0.02,0.13
HT-1030,Flat screens,0003-10-12,0003-10-12,Ergo Screen,17 Optimum Resolution 1024 x 768 @ 85Hz. Max resolution 1280 x 960 @ 75Hz. Dot Pitch: 0.27mm,18.0,230.0,/sap/hana/democontent/epmNext/data/images/HT-1030.jpg,0.37,0.12,0.36
HT-1031,Flat screens,0003-10-12,0003-10-12,Easy Pixel,19 Optimum Resolution 1280 x 960 @ 85Hz. Max resolution 1600 x 1200 @ 75Hz. Dot Pitch: 0.26mm,22.0,285.0,/sap/hana/democontent/epmNext/data/images/HT-1031.jpg,0.41,0.19,0.43
HT-1032,Flat screens,0003-10-12,0003-10-12,Beam Screen,21 Optimum Resolution 1600 x 1200 @ 85Hz. Max resolution 1984 x 1488 @ 75Hz. Dot Pitch: 0.25mm,21.0,345.0,/sap/hana/democontent/epmNext/data/images/HT-1032.jpg,0.41,0.19,0.43
HT-1035,Flat screens,0003-10-12,0003-10-12,Flat Basic 15,19 Optimum Resolution 1600 x 1200 @ 85Hz. Max resolution 1984 x 1488 @ 75Hz. Dot Pitch: 0.24mm,14.0,399.0,/sap/hana/democontent/epmNext/data/images/HT-1035.jpg,0.39,0.2,0.41
HT-1036,Flat screens,0003-10-12,0003-10-12,Flat Future,21 Optimum Resolution 1984 x 1488 @ 85Hz. Max resolution 1720 x 1280 @ 75Hz. Dot Pitch: 0.24mm,15.0,430.0,/sap/hana/democontent/epmNext/data/images/HT-1036.jpg,0.45,0.26,0.46
HT-1037,Flat screens,0003-10-12,0003-10-12,Flat X-large,23 Optimum Resolution 2016 x 1512 @ 85Hz. Max resolution 2048 x 1536 @ 75Hz. Dot Pitch: 0.24mm,17.0,1430.0,/sap/hana/democontent/epmNext/data/images/HT-1037.jpg,0.55,0.22,0.39
HT-1040,Laser printers,0003-10-12,0003-10-12,Laser Professional Eco,Print 2400 dpi image quality color documents at speeds of up to 32 ppmÂ¹ (color) or 36 ppmÂ¹ (monochrome). letter/A4. Powerful 500 MHz processor. 512MB of memory,32.0,830.0,/sap/hana/democontent/epmNext/data/images/HT-1040.jpg,0.51,0.46,0.3
HT-1041,Laser printers,0003-10-12,0003-10-12,Laser Basic,Up to 22 ppm color or 24 ppm monochrome letter. powerful 500 MHz processor and 128MB of memory,23.0,490.0,/sap/hana/democontent/epmNext/data/images/HT-1041.jpg,0.48,0.42,0.26
HT-1042,Laser printers,0003-10-12,0003-10-12,Laser Allround,Print up to 25 ppm letter and 24 ppm A4 color or monochrome. with a first-page-out-time of less than 13 seconds for monochrome and less than 15 seconds for color,15.0,349.0,/sap/hana/democontent/epmNext/data/images/HT-1042.jpg,0.53,0.5,0.65
HT-1050,Ink jet printers,0003-10-12,0003-10-12,Deskjet Super Color,1200 dpi x 1200 dpi - up to 19 ppm (mono) / up to 18 ppm (colour) - capacity: 80 sheets - Hi-Speed USB. Ethernet,3.0,139.0,/sap/hana/democontent/epmNext/data/images/HT-1050.jpg,0.45,0.34,0.18
HT-1051,Ink jet printers,0003-10-12,0003-10-12,Deskjet Mobile,1000 dpi x 1000 dpi - up to 15 ppm (mono) / up to 13 ppm (colour) - capacity: 40 sheets - Hi-Speed USB - excellent dimesions for the small office,1.9,99.0,/sap/hana/democontent/epmNext/data/images/HT-1051.jpg,0.46,0.32,0.25
HT-1052,Ink jet printers,0003-10-12,0003-10-12,Deskjet Super Highspeed,1200 dpi x 1200 dpi - up to 25 ppm (mono) / up to 24 ppm (colour) - capacity: 100 sheets - Hi-Speed USB2.0. Ethernet,18.0,170.0,/sap/hana/democontent/epmNext/data/images/HT-1052.jpg,0.41,0.42,0.28
HT-1055,Multi function printers,0003-10-12,0003-10-12,Multi Print,1000 dpi x 1000 dpi - up to 16 ppm (mono) / up to 15 ppm (colour)- capacity 80 sheets - scanner (216 x 297 mm. 1200dpi x 2400dpi),6.3,99.0,/sap/hana/democontent/epmNext/data/images/HT-1055.jpg,0.55,0.45,0.29
